Bernstein 71.03 
Furtwängler 74.38
Leinsdorf 65.78 
Ormandy 64.72
Solti 74.70 
Szell 66.22
Bohm 72.68 
Karajan 66.90
Masur 69.45 
Rattle 69.93
Steinberg 68.62 
Tennstedt 68.40
