age,female,income,wealth
48,1,221843,271015
47,1,262927,-112683
47,1,144632,372843
47,1,136172,55490
47,1,200125,1151
46,1,121043,-411812
44,1,148859,3002
44,1,285769,-129070
44,1,130061,144
44,1,215879,-45686
43,0,239482,-511616
43,0,363388,376687
43,0,251345,247460
42,1,78655,-62689
40,1,10206,47505
40,0,426139,883518
37,1,138170,8
37,1,158554,3287
37,1,45997,-183549
36,1,212298,-849
35,1,213155,-296349
35,1,139128,2475994
32,0,0,59
32,0,317574,-682052
32,1,238429,-239682
31,1,269974,678403
30,1,230802,172503
30,0,236537,-791051
25,0,38762,310991
24,1,5532,-88438
21,0,6593,5320
21,1,69551,3095
20,0,140273,6275
19,0,15048,181
14,0,0,0
12,0,0,0
10,1,0,0
7,1,0,0
6,1,0,0
5,0,0,0
4,0,0,0
3,0,0,0
1,1,0,0
0,0,0,0
87,1,0,3033
81,0,0,152660
81,1,0,523495
67,0,0,342431
67,1,89600,463304
59,0,110112,386399
58,0,319836,335166
57,0,523845,34295
57,0,236513,53896
56,0,383613,726220
56,0,0,-159022
55,1,301875,1098820
55,0,281786,508178
55,0,70656,452318
53,1,267496,692088
53,1,306323,77065
53,0,734841,761156
52,1,117440,244195
52,0,127486,448192
51,1,355741,-6319
51,0,105669,1124
50,0,328693,354125
50,0,461706,2109212
49,0,340745,38745
48,1,164315,113045
48,1,100209,7798
47,0,635470,130868
47,1,95000,307411
45,1,156216,11360
45,1,410709,347417
43,0,307948,-286002
43,0,527956,-290645
42,0,275951,-1294578
39,0,170976,-720224
37,1,0,3884
35,0,262296,-379469
35,0,239865,-151091
35,1,263800,-36369
34,0,218489,52196
33,0,36743,-131445
32,1,75650,8873
32,0,267998,-23965
31,1,57852,278360
31,0,121622,-46959
30,0,273818,-305817
30,1,16861,103850
29,1,0,6531
29,1,220776,-132088
29,0,170573,-26044
28,0,359816,54509
27,1,176762,48563
26,1,21967,231388
26,1,18890,-27670
25,0,308928,-71392
25,0,177219,-1513
21,0,128965,110756
20,1,240407,-13256
18,1,13290,98063
18,1,46315,5324
18,0,104591,26244
17,1,24336,1502
17,0,0,7431
15,1,0,0
15,0,0,0
14,0,0,0
13,1,0,0
13,1,0,0
13,0,15840,0
10,1,0,0
7,0,0,0
3,1,0,0
1,1,0,0
1,1,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,0,0,0
82,1,0,66691
80,1,0,34974
75,0,0,422410
74,1,0,316543
73,0,11902,2666097
69,0,0,6673
69,0,1500,44115
67,0,0,199292
65,0,324449,-465621
64,1,0,470918
63,0,203378,759449
63,0,0,598317
63,1,82510,261961
58,1,112691,463157
57,1,0,576394
55,1,104135,74871
54,0,330600,-1953663
53,1,232057,310245
52,0,283264,814900
52,1,0,0
51,0,692609,511799
49,0,2733,145
49,0,49699,394478
48,1,224182,3206
48,0,261397,14266
46,1,210769,287600
46,1,217315,-117536
46,1,127399,3106
46,1,294635,125359
46,1,128722,-28368
46,1,6521,-1917
45,0,0,38
45,1,256715,415984
45,0,3073,-105996
45,0,757068,-269380
44,1,360454,-564814
44,1,0,-25928
42,1,0,30447
42,1,215589,-518350
41,1,231023,-48520
41,0,0,-688880
40,0,146372,-732873
39,1,217570,13378
39,1,258001,-103496
39,0,342807,-196062
39,0,308787,762179
37,0,110261,63014
37,1,318349,-1187975
36,1,250075,-446741
35,1,579819,-725032
35,0,432319,162184
35,1,202103,22877
34,0,772746,-1305131
34,1,0,24337
34,0,1798623,-2192931
33,0,285412,-37935
32,1,634927,-746454
31,0,292076,-318181
31,0,189531,136277
30,1,0,1886
30,1,217612,-112131
29,0,240180,-233872
27,0,329010,-444810
26,0,14646,-271462
23,0,3468,-13553
22,0,284285,-296668
19,0,106978,304
19,1,25059,20045
18,1,42962,-967
18,0,96098,3453
17,0,32551,-75
16,1,2550,0
14,1,0,0
13,1,2356,0
12,0,0,0
12,0,0,0
11,1,0,0
10,0,0,0
9,1,0,0
9,1,0,0
9,1,0,0
8,1,0,0
8,0,0,0
7,1,0,0
5,1,0,0
3,0,0,0
3,1,0,0
2,1,0,0
2,1,0,0
80,0,0,67657
76,0,0,802745
69,0,61409,1203879
69,0,-31882,408280
63,1,247988,384083
59,0,199753,92861
57,0,200000,362445
